iter	RMSE
0	5.562308801
1	5.385636311
2	5.231958203
3	5.083107234
4	4.936297229
5	4.790044441
6	4.665389802
7	4.546143789
8	4.430679836
9	4.325678394
10	4.226854868
11	4.134848037
12	4.043543629
13	3.959014162
14	3.879264758
15	3.806384848
16	3.736876572
17	3.675385157
18	3.602538436
19	3.547673151
20	3.495794753
21	3.440101002
22	3.385086223
23	3.33940042
24	3.297413034
25	3.255506353
26	3.217279176
27	3.183099184
28	3.145953144
29	3.116915464
30	3.09081879
31	3.060716546
32	3.032245543
33	3.007544199
34	2.99388903
35	2.974640568
36	2.953365607
37	2.930923541
38	2.912686512
39	2.891098258
40	2.873372183
41	2.855139551
42	2.841497649
43	2.825385479
44	2.813788396
45	2.800813684
46	2.788696794
47	2.777412762
48	2.763943436
49	2.75300165
50	2.740353462
51	2.730503612
52	2.721799234
53	2.711052801
54	2.700055577
55	2.690302102
56	2.678732892
57	2.671315195
58	2.662856424
59	2.655232073
60	2.65072034
61	2.641068045
62	2.631319091
63	2.626857373
64	2.62158454
65	2.61298174
66	2.60810991
67	2.601823834
68	2.596712747
69	2.593005134
70	2.584174123
71	2.579320734
72	2.572756922
73	2.569902113
74	2.566093268
75	2.560873356
76	2.552845727
77	2.546175445
78	2.539926533
79	2.535530418
80	2.532145419
81	2.528134781
82	2.523394877
83	2.517228166
84	2.511649708
85	2.507518761
86	2.504827896
87	2.501416531
88	2.498528717
89	2.494509731
90	2.4873018
91	2.483509594
92	2.478637051
93	2.475709959
94	2.470598496
95	2.465712711
96	2.461588064
97	2.459714292
98	2.455733889
99	2.452676496
100	2.447618457
101	2.443887963
102	2.438572903
103	2.436518952
104	2.43453445
105	2.427786006
106	2.424676549
107	2.41990469
108	2.416414785
109	2.413290309
110	2.40783275
111	2.400694545
112	2.398053921
113	2.394298311
114	2.388348318
115	2.385848002
116	2.383936763
117	2.381044197
118	2.379126466
119	2.372983817
120	2.369892317
121	2.36735504
122	2.362320919
123	2.357565624
124	2.352659794
125	2.348705724
126	2.346250414
127	2.34018045
128	2.337670763
129	2.332980666
130	2.328826549
131	2.32525192
132	2.322404648
133	2.319062347
134	2.314556354
135	2.311870558
136	2.309081644
137	2.305954345
138	2.303301431
139	2.30180806
140	2.297286269
141	2.292538935
142	2.291357446
143	2.290254649
144	2.289245389
145	2.288107663
146	2.286473288
147	2.285017964
148	2.279833241
149	2.278407727
150	2.27396489
151	2.270695744
152	2.265419037
153	2.260966916
154	2.25541013
155	2.254067776
156	2.248593405
157	2.243213253
158	2.242040401
159	2.237677214
160	2.232458517
161	2.229207171
162	2.224537323
163	2.218863085
164	2.213969508
165	2.210849491
166	2.20899864
167	2.204339451
168	2.199496966
169	2.194316235
170	2.191642179
171	2.187406299
172	2.18365672
173	2.180020338
174	2.176609708
175	2.174331548
176	2.171153361
177	2.169771583
178	2.168233388
179	2.163376411
180	2.158709318
181	2.155312672
182	2.153438997
183	2.148276754
184	2.143794881
185	2.139957179
186	2.13697893
187	2.133437572
188	2.130991415
189	2.126282847
190	2.12457514
191	2.120340106
192	2.116771236
193	2.115481417
194	2.111613331
195	2.107331253
196	2.10656265
197	2.102809909
198	2.097600072
199	2.090746593
