iter	Passed	Remaining
0	0	176
1	1	154
2	2	146
3	2	140
4	3	137
5	4	134
6	4	132
7	5	130
8	6	129
9	6	127
10	7	125
11	7	124
12	8	124
13	9	123
14	9	122
15	10	121
16	11	120
17	11	119
18	12	118
19	13	117
20	13	116
21	14	116
22	14	115
23	15	115
24	16	114
25	16	113
26	17	113
27	18	112
28	18	111
29	19	111
30	20	110
31	20	109
32	21	108
33	22	107
34	22	105
35	22	104
36	23	104
37	24	103
38	24	102
39	25	101
40	26	101
41	26	100
42	27	99
43	27	99
44	28	98
45	29	98
46	29	97
47	30	96
48	31	96
49	31	95
50	32	95
51	33	94
52	33	94
53	34	93
54	35	92
55	35	91
56	36	91
57	36	90
58	37	89
59	38	89
60	38	88
61	39	87
62	40	87
63	40	86
64	41	85
65	41	85
66	42	84
67	43	84
68	43	83
69	44	82
70	45	82
71	45	81
72	46	80
73	46	80
74	47	79
75	48	78
76	49	78
77	49	77
78	50	77
79	50	76
80	51	75
81	52	74
82	52	74
83	53	73
84	53	73
85	54	72
86	55	71
87	55	71
88	56	70
89	57	69
90	57	69
91	58	68
92	58	67
93	59	67
94	60	66
95	60	65
96	61	65
97	62	64
98	62	64
99	63	63
100	63	62
101	64	62
102	65	61
103	66	60
104	66	60
105	67	59
106	67	58
107	68	58
108	69	57
109	69	57
110	70	56
111	70	55
112	71	55
113	72	54
114	72	53
115	73	53
116	74	52
117	74	51
118	75	51
119	75	50
120	76	50
121	77	49
122	77	48
123	78	48
124	79	47
125	79	46
126	80	46
127	81	45
128	81	45
129	82	44
130	83	43
131	83	43
132	84	42
133	84	41
134	85	41
135	86	40
136	86	39
137	87	39
138	87	38
139	88	37
140	88	37
141	89	36
142	90	35
143	90	35
144	91	34
145	91	33
146	92	33
147	92	32
148	93	32
149	94	31
150	94	30
151	95	30
152	96	29
153	96	28
154	97	28
155	97	27
156	98	26
157	98	26
158	99	25
159	100	25
160	100	24
161	101	23
162	101	23
163	102	22
164	102	21
165	103	21
166	104	20
167	104	19
168	105	19
169	105	18
170	106	18
171	107	17
172	107	16
173	108	16
174	108	15
175	109	14
176	109	14
177	110	13
178	111	13
179	111	12
180	112	11
181	112	11
182	113	10
183	114	9
184	114	9
185	115	8
186	115	8
187	116	7
188	116	6
189	117	6
190	117	5
191	118	4
192	119	4
193	119	3
194	120	3
195	120	2
196	121	1
197	121	1
198	122	0
199	123	0
